Day,Len,State,EV,Dem,GOP,Date,Pollster
226.5,4,Alabama,9,36,54,Aug 16,Capital Survey-4
177,3,Alabama,9,36,51,Jun 27,Capital Survey-3
1,1,Alabama,9,39,60,Jan 01,Election 2008-1
1,1,Alaska,3,38,62,Jan 01,Election 2008-1
294,1,Arizona,11,44,52,Oct 21,Rasmussen-1
280,7,Arizona,11,44,42,Oct 10,Rocky Mtn Poll-7
275,3,Arizona,11,44,53,Oct 03,PPP-3
268.5,2,Arizona,11,42,46,Sep 26,Moore Consulting-2
268,1,Arizona,11,42,52,Sep 25,Rasmussen-1
260,5,Arizona,11,45,48,Sep 19,Purple Strategies-5
251,3,Arizona,11,44,53,Sep 09,PPP-3
205,3,Arizona,11,41,52,Jul 25,PPP-3
177,1,Arizona,11,41,54,Jun 26,Rasmussen-1
155.5,2,Arizona,11,46,49,Jun 05,PPP-2
138.5,4,Arizona,11,43,50,May 20,PPP-4
105,11,Arizona,11,40,42,Apr 20,Arizona State U.-11
103,9,Arizona,11,42,40,Apr 17,Rocky Mtn Poll-9
102,1,Arizona,11,40,42,Apr 12,Arizona State U.-1
72,1,Arizona,11,40,51,Mar 13,Rasmussen-1
50.5,2,Arizona,11,40,45,Feb 20,Marist Coll.-2
49,3,Arizona,11,47,47,Feb 19,PPP-3
7,5,Arizona,11,37,43,Jan 09,Rocky Mtn Poll-5
1,1,Arizona,11,45,54,Jan 01,Election 2008-1
284.5,6,Arkansas,6,31,58,Oct 14,U. of Arkansas-6
260,1,Arkansas,6,35,56,Sep 17,Hendrix Coll.-1
1,1,Arkansas,6,39,59,Jan 01,Election 2008-1
300.5,6,California,55,54,39,Oct 30,Field Poll-6
297.5,8,California,55,56,33,Oct 28,Pepperdine U.-8
291,7,California,55,54,40,Oct 21,Los Angeles Times-7
290.5,8,California,55,53,41,Oct 21,Public Policy Inst. of Calif.-8
286,5,California,55,53,38,Oct 15,Princeton Survey-5
281.5,4,California,55,54,33,Oct 10,Pepperdine U.-4
281,3,California,55,53,39,Oct 09,SurveyUSA-3
255.5,8,California,55,53,39,Sep 16,Public Policy Inst. of Calif.-8
254,13,California,55,58,34,Sep 17,Field Poll-13
253.5,4,California,55,55,33,Sep 12,Pepperdine U.-4
253,3,California,55,57,35,Sep 11,SurveyUSA-3
217,5,California,55,56,33,Aug 07,Tulchin Research-5
198,15,California,55,51,40,Jul 24,Public Policy Inst. of Calif.-15
197.5,2,California,55,52,33,Jul 17,Pepperdine U.-2
177.5,12,California,55,55,37,Jul 02,Field Poll-12
148,3,California,55,57,36,May 29,SurveyUSA-3
145,9,California,55,48,32,May 29,Field Poll-9
139,5,California,55,56,37,May 21,Los Angeles Times-5
137,7,California,55,50,39,May 20,Public Policy Inst. of Calif.-7
90,5,California,55,62,31,Apr 02,SurveyUSA-5
75.5,6,California,55,57,36,Mar 19,Los Angeles Times-6
43,9,California,55,57,35,Feb 16,Rasmussen-9
41,17,California,55,55,35,Feb 18,Field Poll-17
39.5,2,California,55,60,31,Feb 09,SurveyUSA-2
32,3,California,55,52,30,Feb 02,PPP-3
1,1,California,55,61,37,Jan 01,Election 2008-1
304,3,Colorado,9,46,47,Nov 01,IPSOS-3
303,3,Colorado,9,49,48,Oct 31,CallFire-3
302.5,4,Colorado,9,47,45,Oct 31,SurveyUSA-4
302,1,Colorado,9,47,50,Oct 29,Rasmussen-1
301.5,4,Colorado,9,45,46,Oct 30,IPSOS-4
301.5,6,Colorado,9,50,48,Oct 31,ORC International-6
299.5,4,Colorado,9,47,48,Oct 28,ARG-4
297,3,Colorado,9,47,46,Oct 25,Purple Strategies-3
297,3,Colorado,9,51,47,Oct 25,PPP-3
296.5,2,Colorado,9,46,43,Oct 24,Project New America-2
296.5,2,Colorado,9,48,48,Oct 24,Marist Coll.-2
294,1,Colorado,9,46,50,Oct 21,Rasmussen-1
290,3,Colorado,9,50,47,Oct 18,PPP-3
282.5,2,Colorado,9,47,48,Oct 10,SurveyUSA-2
280,1,Colorado,9,49,48,Oct 07,Rasmussen-1
279.5,4,Colorado,9,46,50,Oct 08,ARG-4
279.5,6,Colorado,9,47,48,Oct 09,Quinnipiac U.-6
277.5,2,Colorado,9,47,43,Oct 05,Selzer-2
264.5,4,Colorado,9,51,45,Sep 23,PPP-4
260,1,Colorado,9,45,47,Sep 17,Rasmussen-1
260,3,Colorado,9,50,45,Sep 18,Marist Coll.-3
260,5,Colorado,9,48,45,Sep 19,Purple Strategies-5
257,7,Colorado,9,48,47,Sep 17,Quinnipiac U.-7
254,3,Colorado,9,49,47,Sep 12,ARG-3
253.5,4,Colorado,9,47,46,Sep 12,SurveyUSA-4
244,3,Colorado,9,49,46,Sep 02,PPP-3
225.5,2,Colorado,9,49,46,Aug 14,Purple Strategies-2
218,1,Colorado,9,47,47,Aug 06,Rasmussen-1
215.5,4,Colorado,9,49,43,Aug 05,PPP-4
215,7,Colorado,9,45,50,Aug 06,Quinnipiac U.-7
192,5,Colorado,9,45,44,Jul 13,Purple Strategies-5
166.5,4,Colorado,9,49,42,Jun 17,PPP-4
157,1,Colorado,9,45,45,Jun 06,Rasmussen-1
153.5,6,Colorado,9,48,46,Jun 05,Purple Strategies-6
143,3,Colorado,9,46,45,May 24,Marist Coll.-3
111,5,Colorado,9,47,47,Apr 23,Purple Strategies-5
96,3,Colorado,9,53,40,Apr 07,PPP-3
61.5,4,Colorado,9,55,44,Mar 04,Quinnipiac U.-4
1,1,Colorado,9,54,45,Jan 01,Election 2008-1
305.5,2,Connecticut,7,55,42,Nov 02,PPP-2
294,1,Connecticut,7,52,45,Oct 21,Rasmussen-1
293.5,4,Connecticut,7,55,41,Oct 22,Quinnipiac U.-4
293,3,Connecticut,7,53,40,Oct 21,SurveyUSA-3
289,3,Connecticut,7,49,42,Oct 17,Mason Dixon-3
288.5,2,Connecticut,7,53,44,Oct 16,PPP-2
286.5,6,Connecticut,7,51,37,Oct 16,U. of Connecticut-6
282,11,Connecticut,7,53,38,Oct 14,Siena Coll.-11
280,1,Connecticut,7,51,45,Oct 07,Rasmussen-1
273,5,Connecticut,7,54,42,Oct 02,Quinnipiac U.-5
268,3,Connecticut,7,54,41,Sep 26,PPP-3
256.5,6,Connecticut,7,53,32,Sep 16,U. of Connecticut-6
236,5,Connecticut,7,52,45,Aug 26,Quinnipiac U.-5
234.5,2,Connecticut,7,53,40,Aug 23,PPP-2
233,1,Connecticut,7,51,43,Aug 21,Rasmussen-1
208.5,4,Connecticut,7,51,43,Jul 29,PPP-4
151.5,6,Connecticut,7,50,38,Jun 03,Quinnipiac U.-6
75.5,6,Connecticut,7,53,37,Mar 19,Quinnipiac U.-6
32.5,2,Connecticut,7,50,37,Feb 02,Pulse Opinion Research-2
1,1,Connecticut,7,61,38,Jan 01,Election 2008-1
286,3,D.C.,3,88,8,Oct 14,PPP-3
1,1,D.C.,3,92,7,Jan 01,Election 2008-1
1,1,Delaware,3,62,37,Jan 01,Election 2008-1
304.5,2,Florida,29,49,47,Nov 01,Marist Coll.-2
304,3,Florida,29,45,51,Nov 01,Mason Dixon-3
304,3,Florida,29,48,46,Nov 01,IPSOS-3
301.5,4,Florida,29,47,47,Oct 30,IPSOS-4
301,3,Florida,29,48,47,Oct 29,Zogby-3
300,3,Florida,29,49,48,Oct 28,PPP-3
299.5,4,Florida,29,49,50,Oct 28,ORC International-4
299,3,Florida,29,47,47,Oct 27,SurveyUSA-3
298.5,6,Florida,29,48,47,Oct 28,Quinnipiac U.-6
298,1,Florida,29,48,50,Oct 25,Rasmussen-1
296.5,2,Florida,29,47,45,Oct 24,Project New America-2
296,3,Florida,29,46,51,Oct 24,Voter Survey Service-3
293,3,Florida,29,47,47,Oct 21,Pharos Research Group-3
292,3,Florida,29,46,51,Oct 20,Angus-Reid-3
291,1,Florida,29,46,51,Oct 18,Rasmussen-1
290.5,2,Florida,29,45,48,Oct 18,Fox News-2
