State,Kerry,Bush,Result
Alabama,37,63,REP
Alaska,34,62,REP
Arizona,44,55,REP
Arkansas,45,54,REP
California,54,45,DEM
Colorado,46,53,REP
Connecticut,54,44,DEM
Delaware,53,46,DEM
District of Columbia,90,9,DEM
Florida,47,52,REP
Georgia,41,59,REP
Hawaii,55,44,DEM
Idaho,29,69,REP
Illinois,55,44,DEM
Indiana,39,60,REP
Iowa,49,50,REP
Kansas,36,63,REP
Kentucky,40,60,REP
Louisiana,42,57,REP
Maine,53,45,DEM
Maryland,56,43,DEM
Massachusetts,62,37,DEM
Michigan,51,48,DEM
Minnesota,52,47,DEM
Mississippi,40,60,REP
Missouri,46,54,REP
Montana,39,59,REP
Nebraska,32,67,REP
Nevada,48,51,REP
New Hampshire,50,49,DEM
New Jersey,53,46,DEM
New Mexico,49,50,REP
New York,58,40,DEM
North Carolina,43,57,REP
North Dakota,36,63,REP
Ohio,49,51,REP
Oklahoma,34,66,REP
Oregon,53,47,DEM
Pennsylvania,51,49,DEM
Rhode Island,60,39,DEM
South Carolina,41,58,REP
South Dakota,38,61,REP
Tennessee,43,57,REP
Texas,38,61,REP
Utah,26,72,REP
Vermont,59,39,DEM
Virginia,46,54,REP
Washington,53,46,DEM
West Virginia,43,56,REP
Wisconsin,50,49,DEM
Wyoming,29,69,REP
