State,Obama Pct,McCain Pct,
Alabama,38.74,60.32,REP
Alaska,37.89,59.42,REP
Arizona,45.12,53.64,REP
Arkansas,38.86,58.72,REP
California,61.01,36.95,DEM
Colorado,53.66,44.71,DEM
Connecticut,60.59,38.22,DEM
Delaware,61.94,36.95,DEM
District of Columbia,92.46,6.53,DEM
Florida,51.03,48.22,DEM
Georgia,46.99,52.2,REP
Hawaii,71.85,26.58,DEM
Idaho,36.1,61.53,REP
Illinois,61.92,36.78,DEM
Indiana,49.95,48.91,DEM
Iowa,53.93,44.39,DEM
Kansas,41.65,56.61,REP
Kentucky,41.17,57.4,REP
Louisiana,39.93,58.56,REP
Maine,57.71,40.38,DEM
Maryland,61.92,36.47,DEM
Massachusetts,61.8,35.99,DEM
Michigan,57.43,40.96,DEM
Minnesota,54.06,43.82,DEM
Mississippi,43,56.18,REP
Missouri,49.29,49.43,REP
Montana,47.27,49.53,REP
Nebraska,41.6,56.53,REP
Nevada,55.15,42.65,DEM
New Hampshire,54.13,44.52,DEM
New Jersey,57.27,41.7,DEM
New Mexico,56.91,41.78,DEM
New York,62.8,36.11,DEM
North Carolina,49.7,49.38,DEM
North Dakota,44.62,53.25,REP
Ohio,51.48,46.94,DEM
Oklahoma,34.35,65.65,REP
Oregon,56.75,40.4,DEM
Pennsylvania,54.65,44.3,DEM
Rhode Island,63.13,35.21,DEM
South Carolina,44.9,53.87,REP
South Dakota,44.75,53.16,REP
Tennessee,41.83,56.9,REP
Texas,43.68,55.45,REP
Utah,34.41,62.58,REP
Vermont,67.46,30.45,DEM
Virginia,52.63,46.33,DEM
Washington,57.65,40.48,DEM
West Virginia,42.59,55.71,REP
Wisconsin,56.22,42.31,DEM
Wyoming,32.54,64.78,REP
