State,Dem,GOP,Date,Pollster
Alabama,36,54,Aug-16,Capital Survey-4
Alabama,36,51,Jun-27,Capital Survey-3
Alabama,39,60,Jan-01,Election 2008-1
Alaska,38,62,Jan-01,Election 2008-1
Arizona,46,53,Nov-03,PPP-2
Arizona,44,52,Oct-21,Rasmussen-1
Arizona,44,42,Oct-10,Rocky Mtn Poll-7
Arizona,44,53,Oct-03,PPP-3
Arizona,42,46,Sep-26,Moore Consulting-2
Arizona,42,52,Sep-25,Rasmussen-1
Arizona,45,48,Sep-19,Purple Strategies-5
Arizona,44,53,Sep-09,PPP-3
Arizona,41,52,Jul-25,PPP-3
Arizona,41,54,Jun-26,Rasmussen-1
Arizona,46,49,Jun-05,PPP-2
Arizona,43,50,May-20,PPP-4
Arizona,40,42,Apr-20,Arizona State U.-11
Arizona,42,40,Apr-17,Rocky Mtn Poll-9
Arizona,40,42,Apr-12,Arizona State U.-1
Arizona,40,51,Mar-13,Rasmussen-1
Arizona,40,45,Feb-20,Marist Coll.-2
Arizona,47,47,Feb-19,PPP-3
Arizona,37,43,Jan-09,Rocky Mtn Poll-5
Arizona,45,54,Jan-01,Election 2008-1
Arkansas,31,58,Oct-14,U. of Arkansas-6
Arkansas,35,56,Sep-17,Hendrix Coll.-1
Arkansas,39,59,Jan-01,Election 2008-1
California,54,39,Oct-30,Field Poll-6
California,56,33,Oct-28,Pepperdine U.-8
California,54,40,Oct-21,Los Angeles Times-7
California,53,41,Oct-21,Public Policy Inst. of Calif.-8
California,53,38,Oct-15,Princeton Survey-5
California,54,33,Oct-10,Pepperdine U.-4
California,53,39,Oct-09,SurveyUSA-3
California,53,39,Sep-16,Public Policy Inst. of Calif.-8
California,58,34,Sep-17,Field Poll-13
California,55,33,Sep-12,Pepperdine U.-4
California,57,35,Sep-11,SurveyUSA-3
California,56,33,Aug-07,Tulchin Research-5
California,51,40,Jul-24,Public Policy Inst. of Calif.-15
California,52,33,Jul-17,Pepperdine U.-2
California,55,37,Jul-02,Field Poll-12
California,57,36,May-29,SurveyUSA-3
California,48,32,May-29,Field Poll-9
California,56,37,May-21,Los Angeles Times-5
California,50,39,May-20,Public Policy Inst. of Calif.-7
California,62,31,Apr-02,SurveyUSA-5
California,57,36,Mar-19,Los Angeles Times-6
California,57,35,Feb-16,Rasmussen-9
California,55,35,Feb-18,Field Poll-17
California,60,31,Feb-09,SurveyUSA-2
California,52,30,Feb-02,PPP-3
California,61,37,Jan-01,Election 2008-1
Colorado,52,46,Nov-04,PPP-2
Colorado,48,48,Nov-04,IPSOS-3
Colorado,46,47,Nov-01,IPSOS-3
Colorado,49,48,Oct-31,CallFire-3
Colorado,47,45,Oct-31,SurveyUSA-4
Colorado,47,50,Oct-29,Rasmussen-1
Colorado,45,46,Oct-30,IPSOS-4
Colorado,50,48,Oct-31,ORC International-6
Colorado,47,48,Oct-28,ARG-4
Colorado,47,46,Oct-25,Purple Strategies-3
Colorado,51,47,Oct-25,PPP-3
Colorado,46,43,Oct-24,Project New America-2
Colorado,48,48,Oct-24,Marist Coll.-2
Colorado,46,50,Oct-21,Rasmussen-1
Colorado,50,47,Oct-18,PPP-3
Colorado,47,48,Oct-10,SurveyUSA-2
Colorado,49,48,Oct-07,Rasmussen-1
Colorado,46,50,Oct-08,ARG-4
Colorado,47,48,Oct-09,Quinnipiac U.-6
Colorado,47,43,Oct-05,Selzer-2
Colorado,51,45,Sep-23,PPP-4
Colorado,45,47,Sep-17,Rasmussen-1
Colorado,50,45,Sep-18,Marist Coll.-3
Colorado,48,45,Sep-19,Purple Strategies-5
Colorado,48,47,Sep-17,Quinnipiac U.-7
Colorado,49,47,Sep-12,ARG-3
Colorado,47,46,Sep-12,SurveyUSA-4
Colorado,49,46,Sep-02,PPP-3
Colorado,49,46,Aug-14,Purple Strategies-2
Colorado,47,47,Aug-06,Rasmussen-1
Colorado,49,43,Aug-05,PPP-4
Colorado,45,50,Aug-06,Quinnipiac U.-7
Colorado,45,44,Jul-13,Purple Strategies-5
Colorado,49,42,Jun-17,PPP-4
Colorado,45,45,Jun-06,Rasmussen-1
Colorado,48,46,Jun-05,Purple Strategies-6
Colorado,46,45,May-24,Marist Coll.-3
Colorado,47,47,Apr-23,Purple Strategies-5
Colorado,53,40,Apr-07,PPP-3
Colorado,55,44,Mar-04,Quinnipiac U.-4
Colorado,54,45,Jan-01,Election 2008-1
Connecticut,55,42,Nov-02,PPP-2
Connecticut,52,45,Oct-21,Rasmussen-1
Connecticut,55,41,Oct-22,Quinnipiac U.-4
Connecticut,53,40,Oct-21,SurveyUSA-3
Connecticut,49,42,Oct-17,Mason Dixon-3
Connecticut,53,44,Oct-16,PPP-2
Connecticut,51,37,Oct-16,U. of Connecticut-6
Connecticut,53,38,Oct-14,Siena Coll.-11
Connecticut,51,45,Oct-07,Rasmussen-1
Connecticut,54,42,Oct-02,Quinnipiac U.-5
Connecticut,54,41,Sep-26,PPP-3
Connecticut,53,32,Sep-16,U. of Connecticut-6
Connecticut,52,45,Aug-26,Quinnipiac U.-5
Connecticut,53,40,Aug-23,PPP-2
Connecticut,51,43,Aug-21,Rasmussen-1
Connecticut,51,43,Jul-29,PPP-4
Connecticut,50,38,Jun-03,Quinnipiac U.-6
Connecticut,53,37,Mar-19,Quinnipiac U.-6
Connecticut,50,37,Feb-02,Pulse Opinion Research-2
Connecticut,61,38,Jan-01,Election 2008-1
District of Columbia,88,8,Oct-14,PPP-3
District of Columbia,92,7,Jan-01,Election 2008-1
Delaware,62,37,Jan-01,Election 2008-1
Florida,47,52,Nov-04,Insider Advantage-1
Florida,50,49,Nov-04,PPP-2
Florida,46,46,Nov-04,IPSOS-3
Florida,47,49,Nov-03,Zogby-3
Florida,45,51,Nov-01,Mason Dixon-3
Florida,48,46,Nov-01,IPSOS-3
Florida,49,47,Nov-01,Marist Coll.-3
Florida,48,50,Oct-29,Pulse Opinion Research-1
Florida,47,47,Oct-30,IPSOS-4
Florida,48,47,Oct-29,Zogby-3
Florida,49,48,Oct-28,PPP-3
Florida,49,50,Oct-28,ORC International-4
Florida,47,47,Oct-27,SurveyUSA-3
Florida,48,47,Oct-28,Quinnipiac U.-6
Florida,48,50,Oct-25,Rasmussen-1
Florida,47,45,Oct-24,Project New America-2
Florida,46,51,Oct-24,Voter Survey Service-3
Florida,47,47,Oct-21,Pharos Research Group-3
Florida,46,51,Oct-20,Angus-Reid-3
Florida,46,51,Oct-18,Rasmussen-1
Florida,45,48,Oct-18,Fox News-2
Florida,47,46,Oct-18,SurveyUSA-2
Florida,47,48,Oct-18,PPP-2
Florida,48,49,Oct-18,ORC International-2
Florida,47,44,Oct-16,Zogby-3
Florida,48,49,Oct-14,PPP-3
Florida,47,51,Oct-11,Rasmussen-1
Florida,46,49,Oct-11,ARG-4
Florida,44,51,Oct-10,Mason Dixon-3
Florida,48,47,Oct-09,Marist Coll.-3
Florida,49,45,Oct-09,U. of North Florida-9
Florida,47,49,Oct-04,Rasmussen-1
Florida,47,46,Oct-01,Marist Coll.-2
Florida,46,43,Sep-30,Suffolk U.-4
Florida,50,46,Sep-23,PPP-4
Florida,50,45,Sep-22,ARG-3
Florida,51,47,Sep-23,Washington Post-5
Florida,53,44,Sep-24,Quinnipiac U.-7
Florida,48,47,Sep-19,Mason Dixon-3
Florida,49,44,Sep-18,Fox News-3
Florida,47,48,Sep-19,Purple Strategies-5
Florida,48,46,Sep-12,Rasmussen-1
Florida,49,44,Sep-11,Marist Coll.-3
