State,Winner,Confidence
Alabama,REP,100%
Alaska,REP,100%
Arizona,REP,100%
Arkansas,REP,90%
California,DEM,100%
Colorado,REP,96%
Connecticut,DEM,90%
D.C.,DEM,100%
Delaware,DEM,85%
Florida,REP,68%
Georgia,REP,100%
Hawaii,REP,54%
Idaho,REP,100%
Illinois,DEM,97%
Indiana,REP,100%
Iowa,REP,63%
Kansas,REP,100%
Kentucky,REP,100%
Louisiana,REP,100%
Maine,DEM,97%
Maryland,DEM,100%
Massachusetts,DEM,98%
Michigan,DEM,90%
Minnesota,DEM,97%
Mississippi,REP,88%
Missouri,REP,95%
Montana,REP,100%
Nebraska,REP,100%
Nevada,REP,98%
New Hampshire,DEM,86%
New Jersey,DEM,99%
New Mexico,REP,54%
New York,DEM,100%
North Carolina,REP,99%
North Dakota,REP,100%
Ohio,DEM,62%
Oklahoma,REP,100%
Oregon,DEM,98%
Pennsylvania,DEM,98%
Rhode Island,DEM,100%
South Carolina,REP,100%
South Dakota,REP,100%
Tennessee,REP,100%
Texas,REP,100%
Utah,REP,100%
Vermont,DEM,96%
Virginia,REP,99%
Washington,DEM,97%
West Virginia,REP,89%
Wisconsin,REP,53%
Wyoming,REP,100%
