State,Winner,Confidence
Alabama,REP,99%
Alaska,REP,100%
Arizona,REP,70%
Arkansas,REP,100%
California,DEM,100%
Colorado,DEM,60%
Connecticut,DEM,100%
Delaware,DEM,100%
District of Columbia,DEM,100%
Florida,REP,63%
Georgia,REP,93%
Hawaii,DEM,100%
Idaho,REP,100%
Illinois,DEM,100%
Indiana,REP,100%
Iowa,DEM,81%
Kansas,REP,97%
Kentucky,REP,97%
Louisiana,REP,97%
Maine,DEM,97%
Maryland,DEM,100%
Massachusetts,DEM,100%
Michigan,DEM,99%
Minnesota,DEM,100%
Mississippi,REP,95%
Missouri,REP,99%
Montana,REP,99%
Nebraska,REP,100%
Nevada,DEM,91%
New Hampshire,DEM,59%
New Jersey,DEM,100%
New Mexico,DEM,100%
New York,DEM,100%
North Carolina,REP,73%
North Dakota,REP,100%
Ohio,DEM,99%
Oklahoma,REP,100%
Oregon,DEM,92%
Pennsylvania,DEM,99%
Rhode Island,DEM,100%
South Carolina,REP,80%
South Dakota,REP,96%
Tennessee,REP,100%
Texas,REP,98%
Utah,REP,100%
Vermont,DEM,100%
Virginia,DEM,74%
Washington,DEM,100%
West Virginia,REP,97%
Wisconsin,DEM,95%
Wyoming,REP,100%
