State           Winner      Confidence
California      DEM         100%
Connecticut     DEM         100%
Delaware        DEM         100%
D.C.            DEM         100%
Hawaii          DEM         100%
Illinois        DEM         100%
Maryland        DEM         100%
Massachusetts   DEM         100%
Minnesota       DEM         100%
New Jersey      DEM         100%
New Mexico      DEM         100%
New York        DEM         100%
Rhode Island    DEM         100%
Vermont         DEM         100%
Washington      DEM         100%
Michigan        DEM         99%
Ohio            DEM         99%
Pennsylvania    DEM         99%
Maine           DEM         97%
Wisconsin       DEM         95%
Oregon          DEM         92%
Nevada          DEM         91%
Iowa            DEM         81%
Virginia        DEM         74%
Colorado        DEM         60%
New Hampshire   DEM         59%
Alaska          REP         100%
Arkansas        REP         100%
Idaho           REP         100%
Indiana         REP         100%
Nebraska        REP         100%
North Dakota    REP         100%
Oklahoma        REP         100%
Tennessee       REP         100%
Utah            REP         100%
Wyoming         REP         100%
Alabama         REP         99%
Missouri        REP         99%
Montana         REP         99%
Texas           REP         98%
Kansas          REP         97%
Kentucky        REP         97%
Louisiana       REP         97%
West Virginia   REP         97%
South Dakota    REP         96%
Mississippi     REP         95%
Georgia         REP         93%
South Carolina  REP         80%
North Carolina  REP         73%
Arizona         REP         70%
Florida         REP         63%
