State,Voting Age Population
Alabama ,3647277
Alaska ,522853
Arizona ,4763003
Arkansas ,2204443
California ,27958916
Colorado ,3803587
Connecticut ,2757082
Delaware ,692169
District of Columbia ,500908
Florida ,14799219
Georgia ,7196101
Hawaii ,1056483
Idaho ,1138510
Illinois ,9701453
Indiana ,4875504
Iowa ,2318362
Kansas ,2126179
Kentucky ,3315996
Louisiana ,3415357
Maine ,1053828
Maryland ,4420588
Massachusetts ,5128706
Michigan ,7539572
Minnesota ,4019862
Mississippi ,2211742
Missouri ,4563491
Montana ,765852
Nebraska ,1367120
Nevada ,2035543
New Hampshire ,1029236
New Jersey ,6726680
New Mexico ,1540507
New York ,15053173
North Carolina ,7253848
North Dakota ,522720
Ohio ,8805753
Oklahoma ,2821685
Oregon ,2964621
Pennsylvania ,9910224
Rhode Island ,828611
South Carolina ,3544890
South Dakota ,611383
Tennessee ,4850104
Texas ,18279737
Utah ,1892858
Vermont ,496508
Virginia ,6147347
Washington ,5143186
West Virginia ,1465576
Wisconsin ,4347494
Wyoming ,428224
